"from","to","n"
"Gautier, Judith","Revista Moderna. (Enciclopedia colombiana)",2
"Gautier, Théophile","Lectura Amena",1
"Gaviria Arango, Enrique","La Bohemia Alegre",1
"Gaviria I., Henrique","El Repertorio. Revista Mensual Ilustrada",1
"Gaviria Isaza, Henrique","Lectura y Arte",1
"Gaviria, José A.","Alpha",2
"Gaviria, José A.","El Montañés",2
"Gebhart, Émile","Revista Moderna. (Enciclopedia colombiana)",1
"Gerin, Gabriel","Lectura Amena",1
"Gide, André","Alpha",2
"Gide, André","Trofeos",1
"Gil, Constantino","Revista Literaria. Publicación Mensual",2
"Gil, Ricardo","Lectura Amena",1
"Giraldo, Francisco","Trofeos",1
"Giraud, Victor","Trofeos",1
"Girón, Lázaro María","Revista Literaria. Publicación Mensual",1
"Goenaga, Florentino","Revista Literaria. Publicación Mensual",1
"Goethe, Johann Wolfgang von","El Repertorio. Revista Mensual Ilustrada",2
"Gomperz, Theodor","Trofeos",3
"Gonzaga Urbina, Luis","Lectura Amena",1
"González Blanco, Andrés","Panida",4
"González Obregón, Luis","Revista Literaria. Publicación Mensual",1
"González Ochoa, Fernando","Panida",6
"González Serrano, Urbano","Lectura Amena",1
"González Suárez, Federico","Revista Literaria. Publicación Mensual",1
"González Torres, A.","Revista Literaria. Publicación Mensual",1
"Gorki, Maksim","Lectura Amena",1
"Gourmont, Remy de","Alpha",3
"Gourmont, Remy de","Panida",1
"Gourmont, Remy de","Revista Contemporánea",2
"Gourmont, Remy de","Revista Moderna. (Enciclopedia colombiana)",1
"Gourmont, Remy de","Trofeos",1
"Goya, Antonio","Revista Literaria. Publicación Mensual",1
"Goyau, Georges ","Revista Moderna. (Enciclopedia colombiana)",1
"Graf, Arturo","Panida",1
"Gramont, Luciano","Lectura Amena",1
"Grant, Allen","Revista Contemporánea",2
"Greiff, Carlos de","El Repertorio. Revista Mensual Ilustrada",1
"Greiff, León de","Lectura y Arte",1
"Greiff, León de","Panida",7
"Greiff, Luis de","El Repertorio. Revista Mensual Ilustrada",83
"Greiff, Luis de","Lectura Amena",2
"Greiff, Luis de","Lectura y Arte",2
"Grillo, Maximiliano","Alpha",2
"Grillo, Maximiliano","Cultura",3
"Grillo, Maximiliano","El Repertorio. Revista Mensual Ilustrada",4
"Grillo, Maximiliano","La Gruta",4
"Grillo, Maximiliano","Lectura Amena",1
"Grillo, Maximiliano","Lectura y Arte",1
"Grillo, Maximiliano","Revista Contemporánea",14
"Grillo, Maximiliano","Trofeos",8
"Groot, José Manuel","Lectura Amena",1
"Grégory, Pedro N.","El Repertorio. Revista Mensual Ilustrada",1
"Guardia, Ernesto de la","Revista Literaria. Publicación Mensual",1
"Guerra Azuola, Ramón","Revista Literaria. Publicación Mensual",6
"Guerrero, Rafael","La Gruta",1
"Guerrini, Olindo","Lectura Amena",1
"Guerrini, Olindo","Revista Literaria. Publicación Mensual",1
"Gumucio, Adulfo de","Revista Literaria. Publicación Mensual",1
"Gutiérrez B., Germán","La Bohemia Alegre",1
"Gutiérrez González, Gregorio","El Repertorio. Revista Mensual Ilustrada",2
"Gutiérrez Robledo, Julio","La Bohemia Alegre",1
"Gutiérrez de Alba, José María","Revista Literaria. Publicación Mensual",2
"Gutiérrez, Felipe Santiago","Cultura",1
"Gutiérrez, Francisco A.","Revista Literaria. Publicación Mensual",1
"Guyau, Jean-Marie","Revista Contemporánea",1
"Guzmán Esponda, Eduardo","Cultura",1
"Guzmán, César Coronado","Revista Literaria. Publicación Mensual",1
"Guérin, Charles","Trofeos",1
"Guérin, Maurice de","Trofeos",2
"Gálvez, Manuel","Revista Contemporánea",1
"Gómez Barrientos, Estanislao","Alpha",5
"Gómez Barrientos, Estanislao","El Montañés",7
"Gómez Carrillo, Enrique","Alpha",1
"Gómez Carrillo, Enrique","Lectura Amena",4
"Gómez Carrillo, Enrique","Revista Moderna. (Enciclopedia colombiana)",1
"Gómez Carrillo, Enrique","Trofeos",1
"Gómez E., Bernardo","Lectura Amena",2
"Gómez Escobar, Francisco","Alpha",2
"Gómez Escobar, Francisco","El Montañés",7
